=== sample 1 13:24:26 ===
Linux 6.17.0-29-generic (funlab-B550-EAGLE-WIFI6) 	05/30/2026 	_x86_64_	(32 CPU)

01:24:26 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:24:29 PM   31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

Average:     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
Average:     all   16.34    0.00    3.28    0.00    0.00    0.00    0.00    0.00    0.00   80.38
Average:       0   10.10    0.00   10.10    0.00    0.00    0.00    0.00    0.00    0.00   79.80
Average:       1    4.08    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   93.88
Average:       2    2.04    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   95.92
Average:       3    4.04    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   93.94
Average:       4   11.11    0.00   17.17    0.00    0.00    0.00    0.00    0.00    0.00   71.72
Average:       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
Average:       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
Average:       7    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
Average:       8   71.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   29.00
Average:       9   28.28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   71.72
Average:      10   16.46    0.00   40.51    0.00    0.00    0.00    0.00    0.00    0.00   43.04
Average:      11  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
Average:      12  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
Average:      13  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
Average:      14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
Average:      15   17.39    0.00   55.07    0.00    0.00    0.00    0.00    0.00    0.00   27.54
Average:      16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
Average:      17   28.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   72.00
Average:      18   29.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   71.00
Average:      19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
Average:      20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
Average:      21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
Average:      22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
Average:      23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
